batch,index,music,hashtag,author,likes,comments,shares,saves
1,1,original sound - Xen EHarvey,"fortnite, fortnitetips, fortnitetipsandtricks, fortnitefunny, fortnitefunnymoments, fortnitechapter5, crosshairx",eharveyy,450000,2465,217400,16100
1,4,original sound - Ave Babe<3🧿🪬🌌🫂,"meme, memecut",ave.babe3,8,0,1,0
1,5,Fluffing a Duck - Kevin MacLeod,"alondrissaclipstwitch, foryou, twitch, rainelissss, alondrissa, alexomarr",raialondrisalex,47400,127,4779,261
2,2,Gata Only - FloyyMenor & Cris MJ,"alondrissaclipstwitch, foryou, twitch, rainelissss, alondrissa, alexomarr",raialondrisalex,5838,53,1349,87
3,1,original sound - stan twitter,"ashanty9800, fyp%E3%82%B7%E3%82%9Aviral, hispanic, viraltiktok, fyp, foryourpage, viral, biggirl, plussize, mexican, mexicantiktok, bayareatiktok, foryoupage, bayarea, bayareacheck, fyp%E3%82%B7, funny, meme, hellokitty",ashantyy9800,33700,27,2791,1831
