batch,index,music,hashtag,author,likes,comments,shares,saves
3,17,original sound - TOONKA,"fyp%E3%82%B7, fyp, hoopersoftiktok, basketball",laurelleforreal_,7801,26,448,38
4,25,оригинальный звук - aliza,"raniachallenge%F0%9F%91%A0%E2%9A%BD%EF%B8%8F, ballcontrol, trending, explore, onbeat, football, footballskills, soccergirl, soccer, femalefootball, heelschallenge, fyp, pourtoi, f%C3%BCrdich, viral",rania.freestyle,499700,2870,51100,5900
5,4,original sound - ✰,"fyp, foryou, basketball",legceetoosegccc,36500,179,3855,266
