batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280800,629,15600,166
1,1,original sound - Haley 🌙 | aemkniqht,,joshgotrich,335200,7148,30200,2822
1,2,original sound - Wealthlock,capcut,chica,10100,158,755,18
1,3,оригинальный звук - никто,,kawaiisofey,108600,292,16300,867
1,4,original sound - yana ୨ৎ,"@summerxiriss, @theaishahsofey",sophieraiin,528500,3119,84800,7494
1,5,original sound - Zach Choi,"tiktokfood, asmr",thezachchoi,4900000,25600,520100,85100
1,6,original sound - Alex,,itsyourgirlavaa,453600,1660,67900,17800
1,7,sonido original - soph,"alondrissa, twitch, rai, railo, alondrissaclipstwitch, fyp",nostalgiiicx,180800,535,13900,1817
1,8,CHOWDA - Alexis💟,benetnicole,_b.enet,71200,247,4195,422
1,9,original sound - kiyaa Dimple,"ethiopian_tik_tok, varil",kiyaa909,4919,3304,951,4934
2,0,Listen to me now - ✨💙Anyah_Noelle💙✨,,anyahnoellenavarro,48000,688,13600,301
2,1,FUNKED UP by XXANTERIA and ISQ UNRELEASED - ku,"lego, hulkbuster",ema_bb0,744400,4903,93100,6187
2,2,original sound - monaethescientistedits,foryou,khyson.elias,43200,546,6081,440
2,3,Love You So - The King Khan & BBQ Show,"icespice, fypdonggggggg, fyp%E3%82%B7%E3%82%9Aviral",biloveu7,221900,955,34300,1658
2,4,That's My Best Friend - Tokyo Vanity,@kayymcgrath,mama.mia.here.we.g0,866900,1960,69100,3818
2,5,Don't Go Insane - DPR IAN,,niimune,7652,90,1062,106
2,6,original sound - kayla,fyp,kaylamalecc,672500,4230,69400,1846
2,7,original sound - Zach Choi,"asmr, cooking",thezachchoi,1400000,10300,195500,48600
2,8,original sound - 𝗮𝗺𝗮𝘆𝗮,"nadiaj, fyp",notnadiajocelyn,244000,1237,27000,554
2,9,original sound - Jenny Hoyos,"costco, cooking",jennyhoyosfr,99800,84,6379,69
2,10,original sound - mabu😇,"drake, lilmabu, rap, fyp%E3%82%B7",lilmabu,1100000,3432,58600,2106
2,11,Be Gone Thot! - LIL MAYO,viral,thatgirllaylay_fp,184100,891,7832,1788
2,12,Originalton - LIMITLEZZ,"2024, viral, fyp%E3%82%B7, dancehall, limitlezz, trending, @avatar_86_cuba",valentinaregis,836100,12300,41500,8868
2,13,оригінальний звук - music ♫,"lego, legobatcave",ema_bb0,713000,7755,68400,4719
2,14,original sound - alexbreakshisback,"backcrack, gym, stretch, gymhumor, stallbars, fyp",lamainethetrain,563400,5018,57600,18500
2,15,original sound - MOONTELLTHAT,,moontellthat,1600000,10300,114000,19500
2,16,Yall under this sound are so fine bro - 🪡,"theekioki, nails, nailtech",theekioki,168500,717,6032,247
2,17,IT GIRL x HOLLABACK GIRL by ALTÉGO - ALTÉGO,,brookeashleyhall,118800,156,3528,89
2,18,El Super Junte Rkt - LOLO OG,"parativiral, paraguaya, tereregelado, fyp%E3%82%B7%E3%82%9Aviral",caamidmar_,253800,1486,11300,1807
2,19,Barbie - JaidynAlexis,@uhitsemm,zoe.ebarb,119100,410,22800,707
2,20,Don't Go Insane - DPR IAN,,whitneyleavitt,3800000,9613,271700,43200
2,21,Lemme get that - Frizz🗽.,,sophieraiin,323400,626,35600,1390
2,22,original sound - Lorena Abreu,"dora, cosplay, ax, fyp, doracosplay, dominicandora, dorarheexplorer, funny, dominicana, rd, platanopower, stunts, stuntdouble, calisthenics, parkour, freerunning, explorepage, trending, sctop10, viralvideos, nyc, backflip, comiccon, lacomiccon",lorenaparkour,2200000,18200,370100,66300
2,23,original sound - Soliana Sapp,"nursing, medicalstudent, surgicaltechnologist, laboranddelivery, nursingstudent, cna",michaelaa.elise,19000,125,1263,587
2,24,sonido original - Michelle Salvatore🫀✨,"fyp, fypage, trendy, vampirediaries",theonlyromantoolit,200400,1457,26700,595
3,0,original sound - k_awesome10,@a.s.k_kj,bgk.24,106900,216,7575,270
3,1,Bongos (feat. Megan Thee Stallion) - Cardi B,,esterbron1,36100,159,4534,525
3,2,Come Outside - Jaliyahma,fyp,myanicoletiktoks,117600,330,14100,608
3,3,оригинальный звук - ㅤㅤㅤㅤㅤㅤㅤ,"@showtimebaba, @yohan_lbt, diamantblazi, seckoff, fyp, foryou, dunk, bball, basketball, trio, challenge, viral, trend, florida, usa, floridabasketball, usabasketball",diamantblazi,2000000,9575,147500,8881
