batch,index,music,hashtag,author,likes,comments,shares,saves
2,10,original sound - yeguinis,"twitch, alondrissa, rainelissss, viral, fyp, parati, railo, clip, trend, povs",yeguinis,72900,110,5318,218
3,20,sonido original - seq,"humor, fyp, foryoupage, fyp%E3%82%B7, viral, tiktok, tiktoks, twitch, streamer, twitchclips, clips, stream, rainelissss, alondrissa",.mmiieq,138900,372,13200,867
4,11,Ick - Alt Ending - Lay Bankz,"tacticalcosplay, cod, itsghostieboy, callsigncasper, nominors, mdni, faceless, codcosplay, callofduty, maskedmen, cosplay, taskforce141, maskedwomen, keegan, keeganruss, codghosts",tactical_twink,18000,154,2187,286
4,17,Reggaeton Champagne - Bellakath & Dani Flow,"alondrissaclipstwitch, twitch, foryou, alondrissa, rainelissss, alexomarr",raialondrisalex,0,46,1285,67
5,13,sonido original - Lyxx 💤,"alondrissa, alondrissafanpage, pr, puertorico%F0%9F%87%B5%F0%9F%87%B7, fyp, viral, tiktok, twitch, rainelissss, railo",lyxx.pr,32600,78,3156,70
