batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,kai bomboclaat - 6’2 with dreads btw,"fyp, 4u, relatable, viral, emo, 08, tgcf, obeymeshallwedate, genshinimpact, highschool",gaylordlevi,862400,8209,96000,6513
1,1,sticky rice - raisin,@sophieraiin,theaishahsofey,152000,592,27700,1297
1,2,original sound - ℒ𝒾𝓁𝓎⸆⸉,"@plmakeupacademy, @glowrecipe, @bubble, @lorealparis, @makeupbymarioo, @tarte.beauty, @bossupcosmetics, plouise, plouisemikayla, makeup, grwm_aesthetics, grwmroutine, grwmroutine, grwmmakeup",grwmwithlily8,50400,2813,4464,769
1,3,Meow - Dust☆,"zayaanvids, zayaan",zayaan4,591700,2210,60200,6821
1,4,original sound - Zeyadeh Hetsler,"fyp, tiktok, tvshow",zeyadeh.hetsler,186400,453,10600,124
1,5,original sound - Danielle 🪩,"mississippi, mardigrasparade, fyp, funny, dancing, getit",kdaniellewilson,407200,5338,21800,33000
1,6,оригинальный звук - iv.kryukov,"fyp, thanksgiving, xyzabc, fyp%E3%82%B7, mutuals",n0nchalaants,285500,945,18100,5486
2,0,original sound - brent rivera,"aelfriceden, aelfricedenfamily, outfit, aelfricedenjoke, foryou, fyp, fun",brentriveraoc,75300,273,5849,1848
2,1,your love is my drg - audios,pivo,trashybagqueen,48600,325,3178,118
2,2,original sound - Sanya,@lollyhairstore,itssanya.1,234500,2781,24400,234
2,3,Despicable Me Whistle Theme By TheBoisBeVibin V2 - :),,heeyhailey,91600,586,4631,76
2,4,original sound - BhutBaQa,"itmightbekokii, fyp, fyp%E3%82%B7%E3%82%9Aviral, sama28, relateable, viralvideo, mzansicomedy",yourneighborhoodstar,71700,325,3981,652
2,5,sonido original - Michelle Salvatore🫀✨,"fyp, fypage, trendy, vampirediaries",theonlyromantoolit,200400,1457,26700,595
2,6,original sound - Cey&Jai❤️,,itsceyandjai,334900,1232,22400,3110
2,7,K. - Cigarettes After Sex,,iamwillius2.0,876600,6884,138700,13400
2,8,original sound - Ray William Johnson,"drama, tourettes, tourettessyndrome, ticsandroses, huntingtons",realraywilliam,218300,724,14500,384
2,9,original sound - Rucrewbank,rucrewbank,rucrewbank,491300,5343,69000,11600
2,10,original sound - Carriejune,@thisismymain2.0,misscarriejune,60100,1003,2543,1824
2,11,original sound - Slim 199x,,sophieraiin,2700000,11400,380700,24900
2,12,original sound - Bull.E pack,,haleyybaylee,71800,344,3804,266
2,13,original sound - Jenn Melon,,jennmelon,1100000,3697,152900,4123
2,14,original sound - workplace film,"movieclips, foryou",workplace.film,603200,1272,45200,702
2,15,original sound - emma,,choiemmaa,2400000,12500,147900,2677
2,16,original sound - Kristen Kash,@imas_problem,officialkristenkash,488100,4902,44100,3590
2,17,original sound - JAYLLNN,coffee,realjayllnn,182100,1581,12800,2096
2,18,Una Foto Remix - Emilia,"@sarita_23431, fyp, parati, soymaaleja",soymaaleja,90400,2838,3361,97
2,19,original sound - Aimee Carty,"2daysintocollege, newmusic, singersongwriter, fyp, foryou, school, originalsong",aimeecarty,4300000,17100,491000,36400
2,20,Roman's Revenge - Nicki Minaj,"fyp, fypage, fyp%E3%82%B7, nickiminaj, school",prettyboi.adam_,43400,250,5920,274
2,21,original sound - Bosslife Femer,"@theshowlorios, foryoupage, shoedoc, fyp",bosslifefemer5,48100,915,7176,288
2,22,escape - Kilgore Doubtfire,,kamiasuraa,513200,5610,45300,2959
2,23,original sound - lol yea.,,jaden.traub001,27300,146,2041,92
2,24,original sound - EX7STENCE™,"fyp, qrxcba",qrxcba,5500000,69300,460600,77900
3,0,Meow - Dust☆,,kallmekris,3900000,16500,387800,37900
3,1,original sound - DEE | Master Nail Educator,"nailtechmemes, funnynailtech, nailtechproblems",deeslays_nails,161300,1223,6793,6096
3,2,original sound - Kervo.dolo,,kervo.dolo,2100000,16700,207500,43900
3,3,original sound - That’s So Drea,"unboxing, asmr",thatssoodrea,1300000,15000,142300,3922
3,4,sonido original - ♕𝓒𝓸𝓻𝓪𝓵,,gumoisess,27700,862,6232,5153
3,5,オリジナル楽曲 - 🐷きょっちゃん🐽 - きょっちゃん,"outfit, mistraumasmischistes, yo, y2k, coquette, trend, baile, humor, fyp",splendamente,13300,495,722,46
3,6,original sound - Moviefather0,"fyp, foryou, tvshow",movie0o778,394900,607,34800,680
3,7,original sound - Vidya,"browngirl, browntiktok, momanddaughter, nighttimeroutine, skincareroutine, getreadywithme, momsoftiktok, momsover30, momsbelike",queencitytrends,29900,111,674,28
3,8,original sound - hhghjhddhj,"foryou, tiktok, film",hhghjhddhj,83300,134,4946,85
3,9,queen of disaster with sparkles - ˚ ˚｡° ⋆♡˚🎀 ꒰ ྀི ◞ ˕ ก ꒱ ⭐️,,clearlytrashx,1264,16,97,12
3,10,original sound - alexbreakshisback,"backcrack, gym, stretch, gymhumor, stallbars, fyp",lamainethetrain,563400,5018,57600,18500
3,11,original sound - Meme Hub 😂🤣💀,,ezra_portals,20,2,2,0
3,12,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,,nevaaadaa,109900,1579,9628,348
3,13,original sound - Curtis Charles,"dance, isabellafro, girls, couple, singleladies, fyp",isabell.afro,359600,1497,17200,1800
3,14,original sound - Toyy,"problems, friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",toyyii_,336500,752,37600,1545
3,15,original sound - JAYLLNN,noodles,realjayllnn,551600,5017,43700,5529
3,16,original sound - sonnyotieno,"real, job, foryou, fyp, car",_yunglimabean_,11100,139,1257,66
3,17,Only weirdos use this - VINNIE,"fy, fyp, gachaoc, vinn, %F0%9F%92%ABvinnisinfinite%F0%9F%8C%90, vinnie, edit, capcut, bcaxyz, gachaedit, stella, xenako, ethan9, world, tiktok, xenn, news, yay, animation, @ur.f4v_lixx",_vinnie9,178300,3659,30200,373
3,18,original sound - JAYLLNN,coffee,realjayllnn,183600,2183,13600,1612
3,19,original sound - Brent Rivera,,brentrivera,976600,6651,51600,20900
3,20,original sound - Tight Memes 👌,"humor, comedia",solsenpai,260800,879,8149,488
3,21,original sound - LoveSoft,"fyp, foryoupage, alt, alternative, altgirl, alttok, alttiktok, viral, metaltok, emotok, makeup",.miamanson,70400,185,2292,453
3,22,Fuck Yo Man - King Von,"roblox, robloxkingvon, robloxstory, robloxrp, robloxhoodgame, robloxrp",tyrellthedemon,27400,773,5434,369
3,23,Cintureo - Remix - jey one & Yoan Retro,"xyzbca, %F0%9F%87%A9%F0%9F%87%B4, parati, fyp%E3%82%B7",xx_cqv,851500,11500,92800,74200
3,24,Made for me remix - djrunit954,"@danielaagui1ar, @reginamochii, bestfriend, besties, friendshipgoals",reginandaniela_,7165,213,1358,96
3,25,original sound - juju,"fyp, foryoupage, curlyhair, curlyhairproblems, relatable, curlyhairtutorial",therealjujubabyy,993000,3191,85000,2589
4,0,original sound - Slim 199x,"fyp%E3%82%B7, dance",thomasharris21,241500,7957,30500,27600
4,1,оригинальный звук - scar1exa,,infamous_wu13,63200,10900,6995,86
4,2,original sound - TIANA ᥫ᭡,@cassandramaedavis26,kels.aff,161000,821,10500,942
4,3,last chance - 🤍,@belllabriii,mitchrenaudd,195200,1294,20900,1812
4,4,original sound - zakir,"fyp, valentinesday, dating",zockr,122700,7775,4611,1956
4,5,original sound - JAYLLNN,@iamcardib,realjayllnn,250600,2672,19100,2181
4,6,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,,khvercxerub,144300,2485,9498,1961
4,7,original sound - Tray2keezy,"fyp, viral, personality",2keezy,2400000,6549,229900,9429
